Año Censal,Entidad,Municipio,Actividad Económica,A131A Valor agregado censal bruto (millones de pesos),H001D Horas trabajadas por Personal ocupado total (miles de Horas),Q000A Acervo total de activos fijos (millones de pesos)
2014,15 México,005 Almoloya de Juárez,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,14.718,672.706,8.534
2014,15 México,005 Almoloya de Juárez,81 Otros servicios excepto actividades gubernamentales,10.969,938.832,11.833
2014,15 México,006 Almoloya del Río,31 - 33 industrias manufactureras,28.022,1675.61,7.691
2014,15 México,006 Almoloya del Río,43 Comercio al por mayor,0.263,19.484,0.046
2014,15 México,006 Almoloya del Río,46 Comercio al por menor,13.092,725.642,5.549
2014,15 México,006 Almoloya del Río,54 Servicios profesionales científicos y técnicos,0.133,11.42,0.274
2014,15 México,006 Almoloya del Río,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,0.5,33.744,0.616
2014,15 México,006 Almoloya del Río,62 Servicios de salud y de asistencia social,0.274,40.98,0.43
2014,15 México,006 Almoloya del Río,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,0.091,9.666,0.221
2014,15 México,006 Almoloya del Río,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3.609,131.736,0.422
2014,15 México,006 Almoloya del Río,81 Otros servicios excepto actividades gubernamentales,2.895,144.104,1.413
2014,15 México,007 Amanalco,11 Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales),5.259,0,36.552
2014,15 México,007 Amanalco,31 - 33 industrias manufactureras,1.818,95.184,2.398
2014,15 México,007 Amanalco,43 Comercio al por mayor,0.993,40.272,0.125
2014,15 México,007 Amanalco,46 Comercio al por menor,6.626,572.09,11.413
2014,15 México,007 Amanalco,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,0.087,25.392,0.185
2014,15 México,007 Amanalco,62 Servicios de salud y de asistencia social,0.443,19.032,0.259
2014,15 México,007 Amanalco,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,1.083,21.864,5.188
2014,15 México,007 Amanalco,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.884,170.684,1.935
2014,15 México,007 Amanalco,81 Otros servicios excepto actividades gubernamentales,1.881,108.762,1.573
2014,15 México,008 Amatepec,31 - 33 industrias manufactureras,6.479,291.1,8.689
2014,15 México,008 Amatepec,43 Comercio al por mayor,6.308,96.94,4.017
2014,15 México,008 Amatepec,46 Comercio al por menor,23.943,1354.482,21.561
2014,15 México,008 Amatepec,51 Información en medios masivos,-1.44,31.064,2.057
2014,15 México,008 Amatepec,52 Servicios financieros y de seguros,1.357,19.92,0.488
2014,15 México,008 Amatepec,54 Servicios profesionales científicos y técnicos,0.11,19.968,0.319
2014,15 México,008 Amatepec,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,1.253,73.532,1.025
2014,15 México,008 Amatepec,62 Servicios de salud y de asistencia social,1.625,51.372,2.085
2014,15 México,008 Amatepec,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,0.37,48.416,3.544
2014,15 México,008 Amatepec,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5.178,294.964,15.589
2014,15 México,008 Amatepec,81 Otros servicios excepto actividades gubernamentales,1.849,137.218,2.771
2014,15 México,009 Amecameca,23 Construcción,4.973,88.872,4.13
2014,15 México,009 Amecameca,31 - 33 industrias manufactureras,36.762,884.952,15.561
2014,15 México,009 Amecameca,43 Comercio al por mayor,36.151,613.362,8.288
2014,15 México,009 Amecameca,46 Comercio al por menor,156.181,5606.344,148.868
2014,15 México,009 Amecameca,48 - 49 transportes correos y almacenamiento,3.291,244.64,18.859
2014,15 México,009 Amecameca,52 Servicios financieros y de seguros,3.127,68.856,0.385
2014,15 México,009 Amecameca,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,2.205,69.416,5.447
2014,15 México,009 Amecameca,54 Servicios profesionales científicos y técnicos,5.017,194.696,4.88
2014,15 México,009 Amecameca,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,4.101,197.474,3.681
2014,15 México,009 Amecameca,61 Servicios educativos,16.848,303.252,8.864
2014,15 México,009 Amecameca,62 Servicios de salud y de asistencia social,7.987,395.37,19.554
2014,15 México,009 Amecameca,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,8.357,406.228,20.755
2014,15 México,009 Amecameca,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,20.728,982.058,20.085
2014,15 México,009 Amecameca,81 Otros servicios excepto actividades gubernamentales,17.964,954.398,14.925
2014,15 México,010 Apaxco,21 Minería,8.988,112,25.825
2014,15 México,010 Apaxco,31 - 33 industrias manufactureras,848.172,2752.386,1197.741
2014,15 México,010 Apaxco,43 Comercio al por mayor,11.386,175.884,2.811
2014,15 México,010 Apaxco,46 Comercio al por menor,61.51,2621.652,66.916
2014,15 México,010 Apaxco,48 - 49 transportes correos y almacenamiento,7.936,203,31.604
2014,15 México,010 Apaxco,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.277,21.356,2.543
2014,15 México,010 Apaxco,54 Servicios profesionales científicos y técnicos,0.905,66.3,1.199
2014,15 México,010 Apaxco,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,0.803,176.338,1.881
2014,15 México,010 Apaxco,61 Servicios educativos,7.509,161.544,13.56
2014,15 México,010 Apaxco,62 Servicios de salud y de asistencia social,3.634,254.738,4.593
2014,15 México,010 Apaxco,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,0.148,13.988,0.94
2014,15 México,010 Apaxco,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,9.285,505.03,24.731
2014,15 México,010 Apaxco,81 Otros servicios excepto actividades gubernamentales,10.25,713.364,14.511
2014,15 México,011 Atenco,31 - 33 industrias manufactureras,156.776,1878.454,128.275
2014,15 México,011 Atenco,43 Comercio al por mayor,34.136,361.59,30.176
2014,15 México,011 Atenco,46 Comercio al por menor,90.363,4021.034,80.659
2014,15 México,011 Atenco,51 Información en medios masivos,1.11,15.06,0.38
2014,15 México,011 Atenco,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,2.642,102.164,10.842
2014,15 México,011 Atenco,54 Servicios profesionales científicos y técnicos,0.915,35.832,0.903
2014,15 México,011 Atenco,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,1.584,153.22,3.377
2014,15 México,011 Atenco,61 Servicios educativos,7.804,242.224,6.824
2014,15 México,011 Atenco,62 Servicios de salud y de asistencia social,3.661,211.856,6.963
2014,15 México,011 Atenco,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,0.88,56.084,2.431
2014,15 México,011 Atenco,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,6.041,409.712,14.691
2014,15 México,011 Atenco,81 Otros servicios excepto actividades gubernamentales,11.755,708.814,20.099
2014,15 México,012 Atizapán,31 - 33 industrias manufactureras,35.328,1659.498,140.74
2014,15 México,012 Atizapán,43 Comercio al por mayor,7.489,205.438,1.242
2014,15 México,012 Atizapán,46 Comercio al por menor,26.81,1176.698,62.501
2014,15 México,012 Atizapán,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.473,15.798,1.094
2014,15 México,012 Atizapán,54 Servicios profesionales científicos y técnicos,0.433,19.776,0.443
2014,15 México,012 Atizapán,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,2.412,41.068,0.604
2014,15 México,012 Atizapán,62 Servicios de salud y de asistencia social,0.433,25.45,0.275
2014,15 México,012 Atizapán,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5.859,196.236,8.922
2014,15 México,012 Atizapán,81 Otros servicios excepto actividades gubernamentales,5.079,198.748,3.065
2014,15 México,013 Atizapán de Zaragoza,23 Construcción,121.8,1893.624,37.098
2014,15 México,013 Atizapán de Zaragoza,31 - 33 industrias manufactureras,2311.478,34161.922,2884.694
2014,15 México,013 Atizapán de Zaragoza,43 Comercio al por mayor,760.607,8912.748,402.905
2014,15 México,013 Atizapán de Zaragoza,46 Comercio al por menor,2190.441,44887.47,2107.81
2014,15 México,013 Atizapán de Zaragoza,48 - 49 transportes correos y almacenamiento,549.425,2499.48,239.206
2014,15 México,013 Atizapán de Zaragoza,51 Información en medios masivos,164.116,852.184,17.06
2014,15 México,013 Atizapán de Zaragoza,52 Servicios financieros y de seguros,9.695,279.41,2.65
2014,15 México,013 Atizapán de Zaragoza,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,86.563,1503.278,100.361
2014,15 México,013 Atizapán de Zaragoza,54 Servicios profesionales científicos y técnicos,83.523,1678.732,45.595
2014,15 México,013 Atizapán de Zaragoza,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,66.688,2657.764,53.484
2014,15 México,013 Atizapán de Zaragoza,61 Servicios educativos,1045.334,10106.094,901.057
2014,15 México,013 Atizapán de Zaragoza,62 Servicios de salud y de asistencia social,76.187,3348.846,82.244
2014,15 México,013 Atizapán de Zaragoza,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,227.38,4754.518,470.208
2014,15 México,013 Atizapán de Zaragoza,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,257.998,10360.548,190.728
2014,15 México,013 Atizapán de Zaragoza,81 Otros servicios excepto actividades gubernamentales,370.844,10103.388,219.311
2014,15 México,014 Atlacomulco,23 Construcción,24.234,581.392,26.182
2014,15 México,014 Atlacomulco,31 - 33 industrias manufactureras,4364.185,22464.728,4732.168
2014,15 México,014 Atlacomulco,43 Comercio al por mayor,528.278,4528.622,349.609
2014,15 México,014 Atlacomulco,46 Comercio al por menor,785.601,15911.292,2326.118
2014,15 México,014 Atlacomulco,48 - 49 transportes correos y almacenamiento,25.506,804.888,112.329
2014,15 México,014 Atlacomulco,51 Información en medios masivos,30.854,161.432,18.463
2014,15 México,014 Atlacomulco,52 Servicios financieros y de seguros,45.739,460.8,2.347
2014,15 México,014 Atlacomulco,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,3.018,198.994,27.956
2014,15 México,014 Atlacomulco,54 Servicios profesionales científicos y técnicos,13.634,471.558,16.075
2014,15 México,014 Atlacomulco,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,26.335,970.382,13.895
2014,15 México,014 Atlacomulco,61 Servicios educativos,92.079,1424.324,93.57
2014,15 México,014 Atlacomulco,62 Servicios de salud y de asistencia social,36.417,1229.074,55.109
2014,15 México,014 Atlacomulco,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,6.047,165.932,43.621
2014,15 México,014 Atlacomulco,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,51.652,2456.774,83.779
2014,15 México,014 Atlacomulco,81 Otros servicios excepto actividades gubernamentales,37.268,2287.666,67.076
2014,15 México,015 Atlautla,31 - 33 industrias manufactureras,20.817,626.484,14.844
2014,15 México,015 Atlautla,43 Comercio al por mayor,1.197,91.434,1.416
2014,15 México,015 Atlautla,46 Comercio al por menor,23.796,2351.816,29.562
2014,15 México,015 Atlautla,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.415,50.496,0.714
2014,15 México,015 Atlautla,54 Servicios profesionales científicos y técnicos,0.184,12.96,0.323
2014,15 México,015 Atlautla,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,1.031,94.89,2.588
2014,15 México,015 Atlautla,62 Servicios de salud y de asistencia social,1.055,98.196,2.62
2014,15 México,015 Atlautla,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,1.171,59.41,1.17
2014,15 México,015 Atlautla,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4.809,303.498,2.048
2014,15 México,015 Atlautla,81 Otros servicios excepto actividades gubernamentales,3.632,303.998,3.212
2014,15 México,016 Axapusco,31 - 33 industrias manufactureras,41.332,976.634,23.891
2014,15 México,016 Axapusco,43 Comercio al por mayor,2.095,48.822,2.221
2014,15 México,016 Axapusco,46 Comercio al por menor,30.175,1460.74,32.576
2014,15 México,016 Axapusco,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.34,12.488,1.266
2014,15 México,016 Axapusco,54 Servicios profesionales científicos y técnicos,0.368,24.52,0.68
2014,15 México,016 Axapusco,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,1.381,58.698,2.158
2014,15 México,016 Axapusco,61 Servicios educativos,1.428,47.232,1.775
2014,15 México,016 Axapusco,62 Servicios de salud y de asistencia social,1.306,73.474,2.592
2014,15 México,016 Axapusco,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,0.314,32.34,2.587
2014,15 México,016 Axapusco,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5.652,213.662,19.529
2014,15 México,016 Axapusco,81 Otros servicios excepto actividades gubernamentales,2.509,204.468,3.687
2014,15 México,017 Ayapango,31 - 33 industrias manufactureras,1.753,47.508,1.124
2014,15 México,017 Ayapango,46 Comercio al por menor,3.989,233.622,2.732
2014,15 México,017 Ayapango,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,0.145,20.112,0.549
2014,15 México,017 Ayapango,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,0.174,6.792,0.045
2014,15 México,017 Ayapango,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.712,33.952,0.228
2014,15 México,017 Ayapango,81 Otros servicios excepto actividades gubernamentales,0.427,30.024,0.433
2014,15 México,018 Calimaya,21 Minería,9.198,206,52.502
2014,15 México,018 Calimaya,31 - 33 industrias manufactureras,32.788,1112.48,18.479
2014,15 México,018 Calimaya,43 Comercio al por mayor,16.16,154.148,1.948
2014,15 México,018 Calimaya,46 Comercio al por menor,65.799,2964.484,34.936
2014,15 México,018 Calimaya,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.532,56.78,22.061
2014,15 México,018 Calimaya,54 Servicios profesionales científicos y técnicos,0.379,20.376,0.16
2014,15 México,018 Calimaya,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,1.163,125.988,4.751
2014,15 México,018 Calimaya,61 Servicios educativos,7.252,109.68,4.821
2014,15 México,018 Calimaya,62 Servicios de salud y de asistencia social,2.141,189.694,4.084
2014,15 México,018 Calimaya,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,2.601,98.372,15.84
2014,15 México,018 Calimaya,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5.336,293.472,11.955
2014,15 México,018 Calimaya,81 Otros servicios excepto actividades gubernamentales,5.239,458.442,9.103
2014,15 México,019 Capulhuac,31 - 33 industrias manufactureras,169.46,1645.046,405.739
2014,15 México,019 Capulhuac,43 Comercio al por mayor,140.332,372.964,37.199
2014,15 México,019 Capulhuac,46 Comercio al por menor,51.582,2569.788,66.867
2014,15 México,019 Capulhuac,51 Información en medios masivos,0.02,7.212,0.021
2014,15 México,019 Capulhuac,52 Servicios financieros y de seguros,0.925,12.528,0.092
2014,15 México,019 Capulhuac,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.394,78.894,31.657
2014,15 México,019 Capulhuac,54 Servicios profesionales científicos y técnicos,0.465,63.3,0.684
2014,15 México,019 Capulhuac,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,1.668,147.826,6.873
2014,15 México,019 Capulhuac,61 Servicios educativos,9.351,105.684,5.308
2014,15 México,019 Capulhuac,62 Servicios de salud y de asistencia social,4.394,258.892,21.669
2014,15 México,019 Capulhuac,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,1.335,103.534,13.455
2014,15 México,019 Capulhuac,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,63.074,2318.62,20.799
2014,15 México,019 Capulhuac,81 Otros servicios excepto actividades gubernamentales,9.573,693.338,25.387
2014,15 México,020 Coacalco de Berriozábal,31 - 33 industrias manufactureras,329.149,5381.302,297.135
2014,15 México,020 Coacalco de Berriozábal,43 Comercio al por mayor,332.148,2925.434,125.798
2014,15 México,020 Coacalco de Berriozábal,46 Comercio al por menor,1731.723,30227.52,1025.743
2014,15 México,020 Coacalco de Berriozábal,48 - 49 transportes correos y almacenamiento,49.572,1848.448,140.345
2014,15 México,020 Coacalco de Berriozábal,51 Información en medios masivos,150.227,845.146,30.086
2014,15 México,020 Coacalco de Berriozábal,52 Servicios financieros y de seguros,20.805,205.032,0.969
2014,15 México,020 Coacalco de Berriozábal,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,62.52,1267.254,102.96
2014,15 México,020 Coacalco de Berriozábal,54 Servicios profesionales científicos y técnicos,24.955,818.282,12.888
2014,15 México,020 Coacalco de Berriozábal,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,26.746,1344.888,22.615
2014,15 México,020 Coacalco de Berriozábal,61 Servicios educativos,197.539,5674.86,241.724
2014,15 México,020 Coacalco de Berriozábal,62 Servicios de salud y de asistencia social,64.709,3005.768,111.619
2014,15 México,020 Coacalco de Berriozábal,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,23.465,1030.758,52.666
2014,15 México,020 Coacalco de Berriozábal,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,219.21,8092.546,300.401
2014,15 México,020 Coacalco de Berriozábal,81 Otros servicios excepto actividades gubernamentales,138.32,5766.888,113.247
2014,15 México,021 Coatepec Harinas,31 - 33 industrias manufactureras,20.973,462.718,18.8
2014,15 México,021 Coatepec Harinas,43 Comercio al por mayor,39.322,203.95,96.312
2014,15 México,021 Coatepec Harinas,46 Comercio al por menor,40.714,2459.434,39.423
2014,15 México,021 Coatepec Harinas,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.338,12.528,0.56
2014,15 México,021 Coatepec Harinas,54 Servicios profesionales científicos y técnicos,0.653,121.418,5.485
2014,15 México,021 Coatepec Harinas,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,1.346,59.688,1.221
2014,15 México,021 Coatepec Harinas,61 Servicios educativos,0.392,38.304,0.228
2014,15 México,021 Coatepec Harinas,62 Servicios de salud y de asistencia social,3.018,130.504,4.283
2014,15 México,021 Coatepec Harinas,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,0.135,9.074,0.236
2014,15 México,021 Coatepec Harinas,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,6.785,437.792,7.975
2014,15 México,021 Coatepec Harinas,81 Otros servicios excepto actividades gubernamentales,5.918,301.704,4.347
2014,15 México,022 Cocotitlán,31 - 33 industrias manufactureras,1.777,134.312,3.235
2014,15 México,022 Cocotitlán,43 Comercio al por mayor,2.758,67.308,3.689
2014,15 México,022 Cocotitlán,46 Comercio al por menor,14.536,823.462,9.991
2014,15 México,022 Cocotitlán,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.386,12.104,0.888
2014,15 México,022 Cocotitlán,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,0.449,45.694,1.365
2014,15 México,022 Cocotitlán,61 Servicios educativos,6.077,52.672,0.604
2014,15 México,022 Cocotitlán,62 Servicios de salud y de asistencia social,0.683,51.328,0.747
2014,15 México,022 Cocotitlán,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,0.06,3.698,0.208
2014,15 México,022 Cocotitlán,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.964,101.114,0.712
2014,15 México,022 Cocotitlán,81 Otros servicios excepto actividades gubernamentales,1.748,153.898,1.946
2014,15 México,023 Coyotepec,31 - 33 industrias manufactureras,46.75,1272.11,38.142
2014,15 México,023 Coyotepec,43 Comercio al por mayor,21.867,322.74,3.005
2014,15 México,023 Coyotepec,46 Comercio al por menor,68.288,3647.69,44.917
2014,15 México,023 Coyotepec,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.213,32.832,0.383
2014,15 México,023 Coyotepec,54 Servicios profesionales científicos y técnicos,0.25,53.224,0.694
2014,15 México,023 Coyotepec,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,2.167,242.606,3.568
2014,15 México,023 Coyotepec,61 Servicios educativos,1.641,52.196,0.499
2014,15 México,023 Coyotepec,62 Servicios de salud y de asistencia social,2.094,129.286,2.203
2014,15 México,023 Coyotepec,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,1.007,43.818,2.007
2014,15 México,023 Coyotepec,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,8.239,450.366,7.269
2014,15 México,023 Coyotepec,81 Otros servicios excepto actividades gubernamentales,10.026,712.46,8.95
2014,15 México,024 Cuautitlán,31 - 33 industrias manufactureras,2815.53,15769.26,3440.152
2014,15 México,024 Cuautitlán,43 Comercio al por mayor,649.962,2802.244,178.204
2014,15 México,024 Cuautitlán,46 Comercio al por menor,855.393,17709.406,727.527
2014,15 México,024 Cuautitlán,48 - 49 transportes correos y almacenamiento,108.465,1572.648,116.399
2014,15 México,024 Cuautitlán,51 Información en medios masivos,79.987,415.24,29.023
2014,15 México,024 Cuautitlán,52 Servicios financieros y de seguros,48.577,129.768,1.557
2014,15 México,024 Cuautitlán,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,20.962,286.814,31.325
